carrier,category,box_info,length_in,width_in,height_in,shipping_cost_usd,volume_in3,length_cm,width_cm,height_cm,volume_cm3,box_type
UPS,Extra Small,"(4, 4, 4, 1)",4.0,4.0,4.0,1,64.0,10.16,10.16,10.16,1048.772096,UPS_Ex_24
FedEx,Extra Small,"(8, 6, 2, 1)",8.0,6.0,2.0,1,96.0,20.32,15.24,5.08,1573.158144,FedEx_Ex_1
UPS,Extra Small,"(8, 6, 2, 1)",8.0,6.0,2.0,1,96.0,20.32,15.24,5.08,1573.158144,UPS_Ex_21
UPS,Extra Small,"(6, 4, 4, 1)",6.0,4.0,4.0,1,96.0,15.24,10.16,10.16,1573.158144,UPS_Ex_22
UPS,Extra Small,"(11, 9, 1, 1)",11.0,9.0,1.0,1,99.0,27.94,22.86,2.54,1622.319336,UPS_Ex_23
USPS,Box-1096L,"(9.5, 6.5, 2.25, 1)",9.5,6.5,2.25,1,138.9375,24.13,16.51,5.715,2276.7777045,USPS_Bo_8
UPS,Small,"(9, 7, 3, 1)",9.0,7.0,3.0,1,189.0,22.86,17.78,7.62,3097.155096,UPS_Sm_27
FedEx,Small,"(12, 9, 2, 1)",12.0,9.0,2.0,1,216.0,30.48,22.86,5.08,3539.6058239999998,FedEx_Sm_3
UPS,Small,"(12, 9, 2, 1)",12.0,9.0,2.0,1,216.0,30.48,22.86,5.08,3539.6058239999998,UPS_Sm_26
UPS,Small,"(6, 6, 6, 1)",6.0,6.0,6.0,1,216.0,15.24,15.24,15.24,3539.605824,UPS_Sm_28
UPS,Small,"(8, 6, 5, 1)",8.0,6.0,5.0,1,240.0,20.32,15.24,12.7,3932.89536,UPS_Sm_25
FedEx,Small,"(8, 6, 5, 1)",8.0,6.0,5.0,1,240.0,20.32,15.24,12.7,3932.89536,FedEx_Sm_2
UPS,Medium,"(13, 11, 2, 1)",13.0,11.0,2.0,1,286.0,33.02,27.94,5.08,4686.700304000001,UPS_Me_29
USPS,Cremated Remains Animal,"(9, 7.25, 5, 1)",9.0,7.25,5.0,1,326.25,22.86,18.415,12.7,5346.279629999999,USPS_Cr_18
USPS,Box-4,"(7.25, 7.25, 6.5, 1)",7.25,7.25,6.5,1,341.65625,18.415,18.415,16.51,5598.74283475,USPS_Bo_9
USPS,Box-1097,"(13.5, 11.5, 2.5, 1)",13.5,11.5,2.5,1,388.125,34.29,29.21,6.35,6360.229214999999,USPS_Bo_10
USPS,Box-1092,"(14, 12, 3, 1)",14.0,12.0,3.0,1,504.0,35.56,30.48,7.62,8259.080256000001,USPS_Bo_14
UPS,Medium,"(8, 8, 8, 1)",8.0,8.0,8.0,1,512.0,20.32,20.32,20.32,8390.176768,UPS_Me_32
USPS,Box-1095,"(15, 12, 3.125, 1)",15.0,12.0,3.125,1,562.5,38.1,30.48,7.9375,9217.7235,USPS_Bo_12
USPS,Express Box,"(15, 12, 3.25, 1)",15.0,12.0,3.25,1,585.0,38.1,30.48,8.255,9586.43244,USPS_Ex_17
USPS,Shoe Box,"(15, 7.5, 5.25, 1)",15.0,7.5,5.25,1,590.625,38.1,19.05,13.335,9678.609675000002,USPS_Sh_11
USPS,Express Box 1 Top Loading,"(11.75, 8.75, 5.75, 1)",11.75,8.75,5.75,1,591.171875,29.845,22.225,14.605,9687.571350625,USPS_Ex_15
USPS,Express Box 2 Side Loading,"(14.25, 12, 3.5, 1)",14.25,12.0,3.5,1,598.5,36.195,30.48,8.89,9807.657804,USPS_Ex_16
